epoch,train_loss,val_loss,val_acc,free_energy
1,0.7330081288019816,0.6175821153322856,0.6283333333333333,0.6697573065757751
2,0.6293044813474019,0.666546995639801,0.6558333333333334,0.5763770937919617
3,0.5082621312141419,0.6822963468233745,0.6683333333333333,0.4672693610191345
4,0.43568411747614544,0.8580067722002666,0.6225,0.24091556668281555
5,0.40093331972757973,0.27901447176933286,0.8766666666666667,0.3836728632450104
6,0.3097843873500824,0.6017752917607625,0.7441666666666666,0.34808653593063354
7,0.28187764644622804,0.29284242749214173,0.855,0.38633424043655396
8,0.2667180140813192,0.2891907223065694,0.8891666666666667,0.25558653473854065
9,0.26877538561820985,0.22316189328829447,0.9066666666666666,0.1348179280757904
10,0.1988046564658483,0.16576857209205628,0.9475,0.2139965146780014
11,0.2010491136709849,0.6396852087974548,0.735,0.14401279389858246
12,0.20182996819416682,0.22261632760365804,0.9133333333333333,0.08255129307508469
13,0.1689807971318563,0.2317945373058319,0.8908333333333334,0.14040407538414001
14,0.25611914952596027,0.3023415966828664,0.8558333333333333,0.4014517664909363
15,0.18703242500623068,0.22974799474080404,0.9116666666666666,0.315405011177063
16,0.2254381138086319,0.4047422953446706,0.805,0.3173220753669739
17,0.13467418402433395,0.2357072122891744,0.9133333333333333,0.11735515296459198
18,0.10906917532285054,0.13627923965454103,0.9525,0.19039711356163025
19,0.09753289312124253,0.13331298947334289,0.9533333333333334,0.050840411335229874
20,0.10143067975838979,0.19257889747619628,0.9383333333333334,0.049143724143505096
21,0.11090830316146215,0.1301526153087616,0.9566666666666667,0.0439201295375824
22,0.07983857989311219,0.13258505860964456,0.955,0.09631592780351639
23,0.07861350561181704,0.14150410056114196,0.9558333333333333,0.045734953135252
24,0.09013597279787064,0.1426986257235209,0.9483333333333334,0.19453071057796478
25,0.10896095971266428,0.15184057831764222,0.94,0.1917090266942978
26,0.08389927044510842,0.19905181288719176,0.9158333333333334,0.10238762944936752
27,0.0732668390373389,0.12914910356203715,0.9566666666666667,0.026645977050065994
28,0.043062772626678146,0.1598431408405304,0.95,0.02176699973642826
29,0.03962815473477046,0.15467755834261576,0.935,0.13403184711933136
30,0.03784854553639889,0.18812482913335166,0.94,0.03511758893728256
31,0.039761082641780375,0.14126817345619203,0.9591666666666666,0.010238971561193466
32,0.032517139017581936,0.13380423903465272,0.955,0.029691943898797035
33,0.04003579376886288,0.16378373861312867,0.9508333333333333,0.012220220640301704
34,0.03505833541353544,0.2748117236296336,0.8883333333333333,0.07034599781036377
35,0.030073614219824473,0.1561333735783895,0.9533333333333334,0.04069548100233078
36,0.024867708856860796,0.14382453083992006,0.9533333333333334,0.1251969039440155
37,0.020955751438935598,0.3113063391049703,0.9166666666666666,0.0996750146150589
38,0.024953225466112297,0.13685766180356343,0.9558333333333333,0.03864997252821922
39,0.021719978004693986,0.14245240449905394,0.955,0.046427808701992035
40,0.01848189573734999,0.15210581541061402,0.9516666666666667,0.01785465143620968
41,0.021801970799764,0.19528763016064962,0.93,0.05074102431535721
42,0.02544971875846386,0.15202199856440227,0.9525,0.02066453918814659
43,0.0187138195335865,0.14096283713976543,0.9533333333333334,0.04727279394865036
44,0.017064891072611013,0.13957758069038392,0.9516666666666667,0.015593682415783405
45,0.01590661231428385,0.14722541809082032,0.9558333333333333,0.025105822831392288
46,0.013560623228549958,0.14243025620778402,0.9533333333333334,0.017641689628362656
47,0.015693463931481043,0.15081953326861064,0.9516666666666667,0.020547538995742798
48,0.013410752688844998,0.14765586058298746,0.9541666666666667,0.014226846396923065
49,0.01494185859337449,0.14574206908543905,0.9533333333333334,0.04876232519745827
50,0.012743542057772478,0.1460200305779775,0.9516666666666667,0.010355997830629349
